subject,intensity,seed,detected,recognized,score
Recep Tayyip Erdogan,0.2,2,1,1,0.6374262571334839
Recep Tayyip Erdogan,0.3,2,1,1,0.6313763856887817
Recep Tayyip Erdogan,0.4,2,1,1,0.5847263336181641
Recep Tayyip Erdogan,0.5,2,1,1,0.45833495259284973
Recep Tayyip Erdogan,0.6,2,1,0,0.2059026062488556
Recep Tayyip Erdogan,0.7,2,0,0,nan
Recep Tayyip Erdogan,0.8,2,0,0,nan
Recep Tayyip Erdogan,0.9,2,0,0,nan
Recep Tayyip Erdogan,1.0,2,0,0,nan
Recep Tayyip Erdogan,0.0,3,1,1,0.38984593749046326
Recep Tayyip Erdogan,0.1,3,1,1,0.39041581749916077
Recep Tayyip Erdogan,0.2,3,1,1,0.3678736388683319
Recep Tayyip Erdogan,0.3,3,1,0,0.3568735718727112
Recep Tayyip Erdogan,0.4,3,1,0,0.33358415961265564
Recep Tayyip Erdogan,0.5,3,1,0,0.2364492267370224
Recep Tayyip Erdogan,0.6,3,1,0,0.04268213361501694
Recep Tayyip Erdogan,0.7,3,0,0,nan
Recep Tayyip Erdogan,0.8,3,0,0,nan
Recep Tayyip Erdogan,0.9,3,0,0,nan
Recep Tayyip Erdogan,1.0,3,0,0,nan
Recep Tayyip Erdogan,0.0,4,1,1,0.6635137796401978
Recep Tayyip Erdogan,0.1,4,1,1,0.663596510887146
Recep Tayyip Erdogan,0.2,4,1,1,0.66725093126297
Recep Tayyip Erdogan,0.3,4,1,1,0.6530514359474182
Recep Tayyip Erdogan,0.4,4,1,1,0.6065569519996643
Recep Tayyip Erdogan,0.5,4,1,1,0.5005580186843872
Recep Tayyip Erdogan,0.6,4,1,0,0.3392029404640198
Recep Tayyip Erdogan,0.7,4,0,0,nan
Recep Tayyip Erdogan,0.8,4,0,0,nan
Recep Tayyip Erdogan,0.9,4,0,0,nan
Recep Tayyip Erdogan,1.0,4,0,0,nan
Recep Tayyip Erdogan,0.0,5,1,1,0.5879580974578857
Recep Tayyip Erdogan,0.1,5,1,1,0.5801498293876648
Recep Tayyip Erdogan,0.2,5,1,1,0.5617362856864929
Recep Tayyip Erdogan,0.3,5,1,1,0.5072333812713623
Recep Tayyip Erdogan,0.4,5,1,1,0.434273362159729
Recep Tayyip Erdogan,0.5,5,1,1,0.4108981192111969
Recep Tayyip Erdogan,0.6,5,1,0,0.15302670001983643
Recep Tayyip Erdogan,0.7,5,0,0,nan
Recep Tayyip Erdogan,0.8,5,0,0,nan
Recep Tayyip Erdogan,0.9,5,0,0,nan
Recep Tayyip Erdogan,1.0,5,0,0,nan
Rudolph Giuliani,0.0,0,1,1,0.5389860272407532
Rudolph Giuliani,0.1,0,1,1,0.536287784576416
Rudolph Giuliani,0.2,0,1,1,0.505176842212677
Rudolph Giuliani,0.3,0,1,1,0.44767042994499207
Rudolph Giuliani,0.4,0,1,1,0.4017566740512848
Rudolph Giuliani,0.5,0,1,1,0.37117069959640503
Rudolph Giuliani,0.6,0,1,0,0.11420992761850357
Rudolph Giuliani,0.7,0,0,0,nan
Rudolph Giuliani,0.8,0,0,0,nan
Rudolph Giuliani,0.9,0,0,0,nan
Rudolph Giuliani,1.0,0,0,0,nan
Rudolph Giuliani,0.0,1,1,1,0.6181471347808838
Rudolph Giuliani,0.1,1,1,1,0.6173566579818726
Rudolph Giuliani,0.2,1,1,1,0.6083419322967529
Rudolph Giuliani,0.3,1,1,1,0.5836049914360046
Rudolph Giuliani,0.4,1,1,1,0.4998930096626282
Rudolph Giuliani,0.5,1,1,0,0.32127583026885986
Rudolph Giuliani,0.6,1,1,0,0.19128531217575073
Rudolph Giuliani,0.7,1,0,0,nan
Rudolph Giuliani,0.8,1,0,0,nan
Rudolph Giuliani,0.9,1,0,0,nan
Rudolph Giuliani,1.0,1,0,0,nan
Rudolph Giuliani,0.0,2,1,1,0.4413589537143707
Rudolph Giuliani,0.1,2,1,1,0.4486638903617859
Rudolph Giuliani,0.2,2,1,1,0.42598971724510193
Rudolph Giuliani,0.3,2,1,1,0.4002913236618042
Rudolph Giuliani,0.4,2,1,1,0.3717867434024811
Rudolph Giuliani,0.5,2,1,0,0.2898898720741272
Rudolph Giuliani,0.6,2,1,0,-0.02340175211429596
Rudolph Giuliani,0.7,2,0,0,nan
Rudolph Giuliani,0.8,2,0,0,nan
Rudolph Giuliani,0.9,2,0,0,nan
Rudolph Giuliani,1.0,2,0,0,nan
Rudolph Giuliani,0.0,3,1,1,0.46818193793296814
Rudolph Giuliani,0.1,3,1,1,0.47623762488365173
Rudolph Giuliani,0.2,3,1,1,0.46993523836135864
Rudolph Giuliani,0.3,3,1,1,0.44143980741500854
Rudolph Giuliani,0.4,3,1,1,0.41399067640304565
Rudolph Giuliani,0.5,3,1,0,0.3381454348564148
Rudolph Giuliani,0.6,3,0,0,nan
Rudolph Giuliani,0.7,3,0,0,nan
Rudolph Giuliani,0.8,3,0,0,nan
Rudolph Giuliani,0.9,3,0,0,nan
Rudolph Giuliani,1.0,3,0,0,nan
Rudolph Giuliani,0.0,4,1,1,0.6943416595458984
Rudolph Giuliani,0.1,4,1,1,0.6950706243515015
Rudolph Giuliani,0.2,4,1,1,0.7108103632926941
Rudolph Giuliani,0.3,4,1,1,0.6734378337860107
Rudolph Giuliani,0.4,4,1,1,0.6051017642021179
Rudolph Giuliani,0.5,4,1,1,0.3778194785118103
Rudolph Giuliani,0.6,4,0,0,nan
Rudolph Giuliani,0.7,4,0,0,nan
Rudolph Giuliani,0.8,4,0,0,nan
Rudolph Giuliani,0.9,4,0,0,nan
Rudolph Giuliani,1.0,4,0,0,nan
Rudolph Giuliani,0.0,5,1,1,0.5770014524459839
Rudolph Giuliani,0.1,5,1,1,0.5762888789176941
